name,botanical_name,category,price,size_options,stock_status,product_url,data_source
'Sierra' Mexican Red Oak,Quercus Canbyi,Oak,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/mexican-red-oak/,site-capture-2026-06-21
Acoma Crape Myrtle,Lagerstroemia x 'Acoma',Crape Myrtle,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/acoma-crape-myrtle/,site-capture-2026-06-21
Alley Cat Redbud Espalier,Cercis canadensis 'Alley Cat',Redbud,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/alley-cat-redbud-espalier/,site-capture-2026-06-21
Arizona Cypress,Cupressus arizonica,Cypress,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/arizona-cypress/,site-capture-2026-06-21
Arizona Cypress Blue Ice,Cupressus arizonica var. glabra 'Blue Ice',Cypress,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/arizona-cypress-blue-ice/,site-capture-2026-06-21
Arizona Cypress Carolina Sapphire,Cupressus arizonica 'Carolina Sapphire',Cypress,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/arizona-cypress-carolina-sapphire/,site-capture-2026-06-21
Bald Cypress,Taxodium distichum,Cypress,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/bald-cypress/,site-capture-2026-06-21
Banana Magnolia Shrub,Magnolia figo,Magnolia,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/banana-magnolia/,site-capture-2026-06-21
Basham's Party Pink Crape Myrtle,Lagerstroemia 'Basham's Party Pink',Crape Myrtle,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/bashams-party-pink-crape-myrtle/,site-capture-2026-06-21
Black Diamond Shell Pink Crape Myrtle,Lagerstroemia Black Diamond 'Shell Pink',Crape Myrtle,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/black-diamond-shell-pink-crape-myrtle-lagerstroemia-black-diamond-shell-pink/,site-capture-2026-06-21
Black Pearl Redbud,Cercis canadensis 'JN16',Redbud,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/black-pearl-redbud/,site-capture-2026-06-21
Bloodgood Japanese Maple,Acer palmatum 'Bloodgood',Maple,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/bloodgood-japanese-maple/,site-capture-2026-06-21
Blue Point Juniper,Juniperus chinensis 'Blue Point',Juniper,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/blue-point-juniper/,site-capture-2026-06-21
Bright n Tight Cherry Laurel,Prunus caroliniana 'Monus',Laurel,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/bright-n-tight-cherry-laurel/,site-capture-2026-06-21
Brodie Juniper,Juniperus Virginiana,Juniper,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/brodie-juniper/,site-capture-2026-06-21
Bur Oak,Quercus Macrocarpa,Oak,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/bur-oak/,site-capture-2026-06-21
Burkii Juniper,Juniperus virginiana 'Burkii',Juniper,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/burkii-juniper/,site-capture-2026-06-21
Catawba Crape Myrtle,Lagerstroemia indica 'Catawba',Crape Myrtle,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/catawba-crape-myrtle/,site-capture-2026-06-21
Cedar Elm,Ulmus crassifolia,Elm,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/cedar-elm/,site-capture-2026-06-21
Centre Court Cherry Laurel,Prunus caroliniana 'Centre Court',Laurel,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/centre-court-cherry-laurel/,site-capture-2026-06-21
Cherry Laurel,Prunus caroliniana,Laurel,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/cherry-laurel/,site-capture-2026-06-21
Chinese Pistache,Pistacia Chinensis,Pistache,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/chinese-pistache/,site-capture-2026-06-21
Chinkapin Oak,Quercus muehlenbergii,Oak,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/chinkapin-oak/,site-capture-2026-06-21
Choctaw Pecan,Carya illinoinensis 'Choctaw',Pecan,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/choctaw-pecan/,site-capture-2026-06-21
Colorama Scarlet Crape Myrtle,Lagerstroemia x 'JM1' PPAF,Crape Myrtle,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/colorama-scarlet-crape-myrtle/,site-capture-2026-06-21
Coppertone Loquat,Eriobotrya japonica x 'Coppertone',Loquat,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/coppertone-loquat/,site-capture-2026-06-21
Coral Magic Crape Myrtle,Lagerstroemia indica 'Coral Magic',Crape Myrtle,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/coral-magic-crape-myrtle/,site-capture-2026-06-21
Cotton Candy Redbud,Cercis canadensis 'Sjo',Redbud,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/cotton-candy-redbud/,site-capture-2026-06-21
Country Red Crape Myrtle,Lagerstroemia indica 'Country Red',Crape Myrtle,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/country-red-crape-myrtle/,site-capture-2026-06-21
Desert Willow,Chilopsis linearis,Willow,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/desert-willow/,site-capture-2026-06-21
Desirable Pecan,Carya illinoinensis 'Desirable',Pecan,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/desirable-pecan/,site-capture-2026-06-21
Dynamite Crape Myrtle,Lagerstroemia indica 'Whit II',Crape Myrtle,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/dynamite-crape-myrtle/,site-capture-2026-06-21
Eagleston Holly,Ilex x Attenuata,Holly,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/eagleston-holly/,site-capture-2026-06-21
Ebony and Ivory Crape Myrtle,Lagerstroemia x 'Ebony and Ivory',Crape Myrtle,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/ebony-and-ivory-crape-myrtle/,site-capture-2026-06-21
Ebony Flame Crape Myrtle,Lagerstroemia 'Ebony Flame',Crape Myrtle,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/ebony-flame-crape-myrtle/,site-capture-2026-06-21
Enduring Fuchsia Crape Myrtle,Lagerstroemia 'Enduring Fuchsia',Crape Myrtle,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/enduring-fuchsia-crape-myrtle/,site-capture-2026-06-21
Enduring Lavender Crape Myrtle,Lagerstroemia indica 'Lavender',Crape Myrtle,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/enduring-lavender-crape-myrtle/,site-capture-2026-06-21
Enduring Red Crape Myrtle,Lagerstroemia 'PIILAG B5',Crape Myrtle,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/enduring-red-crape-myrtle/,site-capture-2026-06-21
Everbrite Cherry Laurel,Prunus caroliniana 'Greevbrite',Laurel,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/everbrite-cherry-laurel/,site-capture-2026-06-21
Evergreen Wisteria,Callerya reticulata or Millettia reticulata,Wisteria,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/evergreen-wisteria/,site-capture-2026-06-21
Evey's Pride Mimosa,Albizia julibrissin 'Evey's Pride',Mimosa,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/eveys-pride-mimosa/,site-capture-2026-06-21
Flame Thrower Redbud,Cercis canadensis 'NC2016-2',Redbud,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/flame-thrower-redbud/,site-capture-2026-06-21
Flip Side Vitex,Vitex x 'Bailtexone',Vitex,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/flip-side-vitex/,site-capture-2026-06-21
Forest Pansy Redbud,Cercis Canadensis,Redbud,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/forest-pansy-redbud/,site-capture-2026-06-21
Frontier Elm,Ulmus 'Frontier',Elm,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/frontier-elm/,site-capture-2026-06-21
Gilded Hearts Redbud,Cercis canadensis 'Hearts of Gold',Redbud,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/gilded-hearts-redbud/,site-capture-2026-06-21
Gold Star Esperanza,Tecoma stans 'Lonesp',Esperanza,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/gold-star-esperanza/,site-capture-2026-06-21
Golden Falls Redbud,Cercis canadensis 'Golden Falls',Redbud,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/golden-falls-redbud/,site-capture-2026-06-21
Hearts A'fire Redbud,Cercis canadensis 'JN100' PPAF,Redbud,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/hearts-a-fire-redbud/,site-capture-2026-06-21
Hightower Yaupon Holly,Ilex vomitoria 'Hightower',Holly,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/hightower-yaupon-holly/,site-capture-2026-06-21
Hopi Crape Myrtle,Lagerstroemia indica x fauriei 'Hopi',Crape Myrtle,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/hopi-crape-myrtle/,site-capture-2026-06-21
Japanese Black Pine,Pinus thunbergii,Pine,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/japanese-black-pine/,site-capture-2026-06-21
Joan Lionetti Texas Live Oak,Quercus fusiformis 'Joan Lionetti',Oak,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/joan-lionetti-texas-live-oak/,site-capture-2026-06-21
Lacebark Elm,Ulmus parvifolia,Elm,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/lacebark-elm/,site-capture-2026-06-21
Lacey Oak,Quercus laceyi,Oak,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/lacey-oak/,site-capture-2026-06-21
Little Gem Magnolia,Magnolia grandiflora var. 'Little Gem',Magnolia,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/little-gem-magnolia/,site-capture-2026-06-21
Little Miss Figgy Dwarf,"Ficus caria ""Little Miss Figgy""",Fig,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/little-miss-figgy-dwarf/,site-capture-2026-06-21
Live Oak,Quercus virginiana,Oak,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/live-oak/,site-capture-2026-06-21
Loquat,Eriobotrya japonica,Loquat,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/loquat/,site-capture-2026-06-21
Madison Hardy Star Jasmine,Trachelospermum jasminoides 'Madison',Jasmine,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/madison-hardy-star-jasmine/,site-capture-2026-06-21
Merlot Redbud,Cercis canadensus var. 'Merlot',Redbud,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/merlot-redbud/,site-capture-2026-06-21
Mexican Plum,Prunus Mexicana,Plum,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/mexican-plum/,site-capture-2026-06-21
Mexican Redbud,Cercis canadensis var. mexicana,Redbud,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/mexican-redbud/,site-capture-2026-06-21
Mexican Sycamore,Platanus mexicana,Sycamore,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/mexican-sycamore/,site-capture-2026-06-21
Miss Frances Crape Myrtle,Lagerstroemia indica 'Miss Frances',Crape Myrtle,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/miss-frances-crape-myrtle/,site-capture-2026-06-21
Monterrey Oak,Quercus polymorpha,Oak,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/monterrey-oak/,site-capture-2026-06-21
Montezuma Cypress,Taxodium mucronatum,Cypress,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/montezuma-cypress/,site-capture-2026-06-21
Muskogee Crape Myrtle,Lagerstroemia indica 'Muskogee',Crape Myrtle,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/muskogee-crape-myrtle/,site-capture-2026-06-21
Mystic Magenta Crape Myrtle,Lagerstroemia indica Black Diamond 'Mystic Magenta',Crape Myrtle,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/mystic-magenta-crape-myrtle/,site-capture-2026-06-21
Natchez Crape Myrtle,Lagerstroemia x 'Natchez',Crape Myrtle,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/natchez-crape-myrtle/,site-capture-2026-06-21
Native Male Yaupon Holly,Ilex vomitoria,Holly,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/native-male-yaupon-holly/,site-capture-2026-06-21
Native Pecan,Carya illinoinensis,Pecan,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/native-pecan/,site-capture-2026-06-21
Nellie R. Stevens Holly,Ilex x 'Nellie R. Stevens',Holly,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/nellie-r-stevens-holly/,site-capture-2026-06-21
Netleaf Oak,Quercus rugosa,Oak,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/netleaf-oak/,site-capture-2026-06-21
Oklahoma Sparkler Redbud,Cercis canadensis 'JN21',Redbud,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/oklahoma-sparkler-redbud/,site-capture-2026-06-21
Ombrella Mimosa,Albizia julibrissin 'Boubri',Mimosa,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/ombrella-mimosa/,site-capture-2026-06-21
Pawnee Pecan,Carya illinoinensis 'Pawnee',Pecan,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/pawnee-pecan/,site-capture-2026-06-21
Pink Velour Crape Myrtle,Lagerstroemia indica 'Whit III',Crape Myrtle,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/pink-velour-crape-myrtle/,site-capture-2026-06-21
Plum Magic Crape Myrtle,Lagerstroemia indica 'Plum Magic',Crape Myrtle,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/plum-magic-crape-myrtle/,site-capture-2026-06-21
Pride of Houston Yaupon Holly,Ilex vomitoria 'Pride of Houston',Holly,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/pride-of-houston-yaupon-holly/,site-capture-2026-06-21
Purely Purple Crape Myrtle,Lagerstroemia indica Black Diamond 'Purely Purple',Crape Myrtle,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/purely-purple-crape-myrtle-lagerstroemia-indica-black-diamond-purely-purple/,site-capture-2026-06-21
Purple Magic Crape Myrtle,Lagerstroemia 'Purple Magic',Crape Myrtle,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/purple-magic-crape-myrtle/,site-capture-2026-06-21
Purple Rain Redbud Espalier,Cercis canadensis 'Purple Rain',Redbud,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/purple-rain-redbud-espalier/,site-capture-2026-06-21
Red Rocket Crape Myrtle,Lagerstroemia indica 'Whit IV',Crape Myrtle,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/red-rocket-crape-myrtle/,site-capture-2026-06-21
Red Yucca,Hesperaloe parviflora,Yucca,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/red-yucca/,site-capture-2026-06-21
Rhapsody in Pink Crape Myrtle,Lagerstroemia indica 'Whit VIII',Crape Myrtle,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/rhapsody-in-pink-crape-myrtle/,site-capture-2026-06-21
Rise and Shine Redbud,Cercis canadensis 'JN15',Redbud,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/rise-and-shine-redbud/,site-capture-2026-06-21
Rising Sun Redbud,Cercis canadensis 'The Rising Sun',Redbud,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/rising-sun-redbud/,site-capture-2026-06-21
Ruby Falls Redbud,Cercis canadensis 'Ruby Falls',Redbud,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/ruby-falls-redbud/,site-capture-2026-06-21
Shoal Creek Vitex,Vitex agnus-castus 'Shoal Creek',Vitex,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/shoal-creek-vitex/,site-capture-2026-06-21
Shumard Red Oak,Quercus shumardii,Oak,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/shumard-red-oak/,site-capture-2026-06-21
Siren Red Crape Myrtle,Lagerstroemia indica 'Whit VII',Crape Myrtle,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/siren-red-crape-myrtle/,site-capture-2026-06-21
Skyward Holly,Ilex vomitoria 'Skyward',Holly,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/skyward-holly/,site-capture-2026-06-21
Southern Wax Myrtle,Morella cerifera,Myrtle,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/southern-wax-myrtle/,site-capture-2026-06-21
